n,tempo_ms,desvio
10000,0.022992000000000002,0.01971162946080308
20000,0.06974,0.020911126225050626
30000,0.086052,0.04654554431951571
40000,0.14792,0.05923772784298871
50000,0.101974,0.07555158981781919
60000,0.16635999999999998,0.10366248308814525
70000,0.194626,0.12517938458068884
80000,0.20045000000000002,0.14746433907897868
90000,0.170136,0.1463040720690986
100000,0.308624,0.15033456363724212
